Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"navigateToUrl(""https://mattermost-autotest.herokuapp.com/signup_email?id=bjz71s5p83g3ix13eth98bo7aw&fbclid=IwAR3R54HjPAKlm9IYu5u0ofSi_RT75MYITTGlO-0rb3RAByX4NuwHUiV51W8"")",Chrome 90.0.4430.212,,,2021-05-28 10:55:20,2021-05-28 10:55:24,4.053s,PASSED
"setText(findTestObject(""Object Repository/Page_Mattermost/Page_Mattermost/input_concat(What, , s your email address)_email""), EmailAddress)",Chrome 90.0.4430.212,,,2021-05-28 10:55:24,2021-05-28 10:55:30,5.480s,PASSED
"setText(findTestObject(""Object Repository/Page_Mattermost/Page_Mattermost/input_Choose your username_name""), Username)",Chrome 90.0.4430.212,,,2021-05-28 10:55:30,2021-05-28 10:55:30,0.674s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Mattermost/Page_Mattermost/input_Choose your password_password""), Password)",Chrome 90.0.4430.212,,,2021-05-28 10:55:30,2021-05-28 10:55:31,0.418s,PASSED
"click(findTestObject(""Object Repository/Page_Mattermost/Page_Mattermost/span_Create Account""))",Chrome 90.0.4430.212,,,2021-05-28 10:55:31,2021-05-28 10:55:31,0.426s,PASSED
,,,,,,,
Test Cases/Sign-Up-Account,Chrome 90.0.4430.212,,,2021-05-28 10:55:31,2021-05-28 10:55:43,12.349s,PASSED
"openBrowser("""")",Chrome 90.0.4430.212,,,2021-05-28 10:55:31,2021-05-28 10:55:33,1.921s,PASSED
"navigateToUrl(""https://mattermost-autotest.herokuapp.com/signup_email?id=bjz71s5p83g3ix13eth98bo7aw&fbclid=IwAR3R54HjPAKlm9IYu5u0ofSi_RT75MYITTGlO-0rb3RAByX4NuwHUiV51W8"")",Chrome 90.0.4430.212,,,2021-05-28 10:55:33,2021-05-28 10:55:36,3.280s,PASSED
"setText(findTestObject(""Object Repository/Page_Mattermost/Page_Mattermost/input_concat(What, , s your email address)_email""), EmailAddress)",Chrome 90.0.4430.212,,,2021-05-28 10:55:36,2021-05-28 10:55:42,5.544s,PASSED
"setText(findTestObject(""Object Repository/Page_Mattermost/Page_Mattermost/input_Choose your username_name""), Username)",Chrome 90.0.4430.212,,,2021-05-28 10:55:42,2021-05-28 10:55:43,0.702s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Mattermost/Page_Mattermost/input_Choose your password_password""), Password)",Chrome 90.0.4430.212,,,2021-05-28 10:55:43,2021-05-28 10:55:43,0.440s,PASSED
"click(findTestObject(""Object Repository/Page_Mattermost/Page_Mattermost/span_Create Account""))",Chrome 90.0.4430.212,,,2021-05-28 10:55:43,2021-05-28 10:55:43,0.406s,PASSED
,,,,,,,
Test Cases/Sign-Up-Account,Chrome 90.0.4430.212,,,2021-05-28 10:55:43,2021-05-28 10:55:57,13.582s,PASSED
"openBrowser("""")",Chrome 90.0.4430.212,,,2021-05-28 10:55:43,2021-05-28 10:55:45,1.959s,PASSED
"navigateToUrl(""https://mattermost-autotest.herokuapp.com/signup_email?id=bjz71s5p83g3ix13eth98bo7aw&fbclid=IwAR3R54HjPAKlm9IYu5u0ofSi_RT75MYITTGlO-0rb3RAByX4NuwHUiV51W8"")",Chrome 90.0.4430.212,,,2021-05-28 10:55:45,2021-05-28 10:55:49,3.545s,PASSED
"setText(findTestObject(""Object Repository/Page_Mattermost/Page_Mattermost/input_concat(What, , s your email address)_email""), EmailAddress)",Chrome 90.0.4430.212,,,2021-05-28 10:55:49,2021-05-28 10:55:56,6.519s,PASSED
"setText(findTestObject(""Object Repository/Page_Mattermost/Page_Mattermost/input_Choose your username_name""), Username)",Chrome 90.0.4430.212,,,2021-05-28 10:55:56,2021-05-28 10:55:56,0.680s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Mattermost/Page_Mattermost/input_Choose your password_password""), Password)",Chrome 90.0.4430.212,,,2021-05-28 10:55:56,2021-05-28 10:55:57,0.427s,PASSED
"click(findTestObject(""Object Repository/Page_Mattermost/Page_Mattermost/span_Create Account""))",Chrome 90.0.4430.212,,,2021-05-28 10:55:57,2021-05-28 10:55:57,0.392s,PASSED
,,,,,,,
Test Cases/Sign-Up-Account,Chrome 90.0.4430.212,,,2021-05-28 10:55:57,2021-05-28 10:56:10,12.854s,PASSED
"openBrowser("""")",Chrome 90.0.4430.212,,,2021-05-28 10:55:57,2021-05-28 10:55:59,2.343s,PASSED
"navigateToUrl(""https://mattermost-autotest.herokuapp.com/signup_email?id=bjz71s5p83g3ix13eth98bo7aw&fbclid=IwAR3R54HjPAKlm9IYu5u0ofSi_RT75MYITTGlO-0rb3RAByX4NuwHUiV51W8"")",Chrome 90.0.4430.212,,,2021-05-28 10:55:59,2021-05-28 10:56:03,3.338s,PASSED
"setText(findTestObject(""Object Repository/Page_Mattermost/Page_Mattermost/input_concat(What, , s your email address)_email""), EmailAddress)",Chrome 90.0.4430.212,,,2021-05-28 10:56:03,2021-05-28 10:56:08,5.622s,PASSED
"setText(findTestObject(""Object Repository/Page_Mattermost/Page_Mattermost/input_Choose your username_name""), Username)",Chrome 90.0.4430.212,,,2021-05-28 10:56:08,2021-05-28 10:56:09,0.667s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Mattermost/Page_Mattermost/input_Choose your password_password""), Password)",Chrome 90.0.4430.212,,,2021-05-28 10:56:09,2021-05-28 10:56:09,0.415s,PASSED
"click(findTestObject(""Object Repository/Page_Mattermost/Page_Mattermost/span_Create Account""))",Chrome 90.0.4430.212,,,2021-05-28 10:56:09,2021-05-28 10:56:10,0.397s,PASSED
